"","Group.1","gridID","year","spring_delta_anpp","summer_delta_anpp","spring_delta_ndvi","summer_delta_ndvi","spring_z_anpp","summer_z_anpp","spring_z_ndvi","summer_z_ndvi","lon","lat","pr_cat"
"1",2000,49140.0556852284,2000,-25.336612204068,2.78958902967656,-8.92597899299767,-11.9868341113705,-0.649933811270423,-0.00235211737245748,-0.674821773924642,-0.890357952650884,-108.783655980827,34.3372577397633,NA
"2",2001,49138.5732622104,2001,37.4909749958326,1.39059559926654,10.0109204867478,-3.36964760793466,0.971396899483247,0.143548091348558,0.771617769628271,-0.16019453242207,-108.783251074546,34.3370157116136,NA
"3",2002,49138.5732622104,2002,-42.2357567927988,-15.1411461910318,-13.2273743957326,-10.8329846641107,-1.15117519586598,-0.754217202867145,-1.10374362393732,-0.918981330221704,-108.783251074546,34.3370157116136,NA
"4",2003,49140.0556852284,2003,4.67883661220407,-13.7182835945315,-2.73512854284762,-12.0125458486162,0.010083694564855,-0.615099366455485,-0.213040346782261,-0.790100866955652,-108.783655980827,34.3372577397633,NA
"5",2004,49138.5732622104,2004,10.9100063343891,-3.8039456576096,0.470866977829638,-4.4800180030005,0.432867977996333,-0.234077179529922,0.0118363060510085,-0.475109018169695,-108.783251074546,34.3370157116136,NA
"6",2005,49138.5732622104,2005,52.6262993832305,-1.4978114685781,19.5282152025338,8.72573928988165,1.38918119686614,0.0204639106517753,1.42871961993666,0.742781630271712,-108.783251074546,34.3370157116136,NA
"7",2006,49138.5732622104,2006,-31.5568111351892,26.0693430571762,-8.49596849474912,20.0386819469912,-0.914584930821804,1.07898083013836,-0.695121020170028,1.23897499583264,-108.783251074546,34.3370157116136,NA
"8",2007,49138.5732622104,2007,-4.11308584764127,5.47636772795466,6.86872245374229,2.60739423237206,0.251969994999167,0.251093348891482,0.544741456909485,0.185774962493749,-108.783251074546,34.3370157116136,NA
"9",2008,49138.5732622104,2008,-2.96872128688115,18.776368228038,-6.81557992998833,10.3027116186031,-0.139869144857476,0.71928288048008,-0.520411568594766,0.60864677446241,-108.783251074546,34.3370157116136,NA
"10",2009,49138.5732622104,2009,-9.86330971828638,-9.19524654109018,-7.33615469244874,-8.51403350558426,-0.20699633272212,-0.463537089514919,-0.538496749458243,-0.654726287714619,-108.783251074546,34.3370157116136,NA
"11",2010,49140.0556852284,2010,31.0386388796265,5.55175441813938,6.86418256085362,8.91699766588863,0.623249749916639,0.279347615871957,0.422060520173391,0.693732410803601,-108.783655980827,34.3372577397633,NA
"12",2011,49141.4617308654,2011,-23.2883820243455,-11.5710313490078,-9.03612139403035,-7.37764782391196,-0.79164915791229,-0.504823745205936,-0.641345506086377,-0.431305652826413,-108.784059070268,34.3374849942488,NA
"13",2012,49138.5732622104,2012,-14.230579429905,-4.59044257376229,-3.90805150858476,-6.08674145690949,-0.309703783963994,-0.137479413235539,-0.241128854809135,-0.306592098683114,-108.783251074546,34.3370157116136,NA
"14",2013,49141.4617308654,2013,-21.1849304652326,9.50964232116058,-11.1174834083709,9.26203901950976,-0.679520593630148,0.458629648157412,-0.817062031015508,0.682671002167751,-108.784059070268,34.3374849942488,NA
"15",2014,49140.0556852284,2014,-28.3869526508836,11.4142335778593,-5.4811468822941,6.44372590863621,-0.768502667555852,0.536795765255085,-0.368536345448483,0.397676225408469,-108.783655980827,34.3372577397633,NA
"16",2015,49139.9788262754,2015,19.9648219406469,12.8278057685895,10.6890213404468,5.67624358119373,0.750919139713238,0.815118872957653,0.787579026342114,0.463830943647883,-108.783654029276,34.3372428878593,NA
"17",2016,49138.5732622104,2016,-9.96444540756793,-1.54072495415903,1.61009868311385,1.88299983330555,-0.102875979329888,-0.0605324220703451,0.138297549591599,0.143987831305218,-108.783251074546,34.3370157116136,NA
"18",2017,49141.4617308654,2017,13.8797253626813,8.5758756044689,7.76500733700183,6.29970852092713,0.539917458729365,0.375044855761214,0.706232116058029,0.457521260630315,-108.784059070268,34.3374849942488,NA
"19",2018,49138.5732622104,2018,-26.7168578096349,6.69138906484414,-9.94944607434572,-2.78639439906651,-0.772936322720453,0.288185030838473,-0.840913818969828,-0.242646607767961,-108.783251074546,34.3370157116136,NA
"20",2019,49138.5732622104,2019,30.7504097349558,-20.3908901483581,11.4504022337056,-4.57282647107851,0.744447574595766,-0.915631105184197,0.951152192032005,-0.199773128854809,-108.783251074546,34.3370157116136,NA
"21",2020,49139.2755629691,2020,38.5268692243536,-27.6451939949958,11.7747844870726,-8.13510725604671,0.774102585487907,-1.27958231859883,0.892735946622185,-0.54570542118432,-108.784881990609,34.336962766447,NA
