,spring_z_ndvi,lon,lat
3402,0.162,-109.7875978,35.77413833
3423,0.163,-109.6771511,35.78699946
3444,0.433,-109.5666673,35.79975772
3465,0.401,-109.4561465,35.81241305
3486,0.704,-109.345589,35.82496542
3507,1.288,-109.2349952,35.83741477
3528,0.447,-109.1243652,35.84976106
3549,0.058,-109.9142858,35.84953247
3570,0,-109.803751,35.8625106
3591,0.363,-109.6931786,35.87538581
3612,0.64,-109.5825688,35.88815804
3633,0.822,-109.4719219,35.90082724
3654,0.433,-109.3612383,35.91339337
3675,0.743,-109.2505182,35.92585638
3696,0.36,-109.1397619,35.93821622
3717,0.155,-109.9306026,35.93788228
3738,0.14,-109.8199418,35.95087466
3759,0.178,-109.7092434,35.963764
3780,0.724,-109.5985074,35.97655026
3801,1.047,-109.4877342,35.98923339
3822,0.471,-109.3769242,36.00181335
3843,0.798,-109.2660775,36.01429008
3864,0.49,-109.1551944,36.02666353
3885,0.261,-109.9469574,36.02622401
3906,0.273,-109.8361705,36.03923069
3927,0.461,-109.7253456,36.05213423
3948,0.957,-109.6144832,36.06493458
3969,1.234,-109.5035834,36.0776317
3990,0.308,-109.3926466,36.09022554
4011,0.572,-109.2816731,36.10271604
4032,0.326,-109.170663,36.11510317
4053,0.236,-109.0596168,36.12738687
4074,0.351,-109.9633504,36.11455783
4095,0.217,-109.852437,36.12757887
4116,0.531,-109.7414855,36.14049667
4137,0.878,-109.6304963,36.15331118
4158,1.057,-109.5194697,36.16602235
4179,0.582,-109.4084058,36.17863013
4200,0.309,-109.2973051,36.19113447
4221,0.317,-109.1861678,36.20353532
4242,0.857,-109.0749942,36.21583265
4263,0.147,-109.9797817,36.20288394
4284,-0.05,-109.8687415,36.2159194
4305,-0.053,-109.7576631,36.22885152
4326,0.476,-109.6465469,36.24168024
4347,0.555,-109.5353931,36.25440552
4368,0.769,-109.4242019,36.2670273
4389,0.631,-109.3129738,36.27954554
4410,0.199,-109.2017089,36.29196019
4431,1.455,-109.0904076,36.30427119
4452,0.728,-109.9962514,36.29120251
4473,-0.014,-109.8850841,36.30425246
4494,-0.27,-109.7738786,36.31719896
4515,-0.143,-109.662635,36.33004196
4536,0.278,-109.5513538,36.34278141
4557,1.187,-109.440035,36.35541725
4578,1.049,-109.3286792,36.36794945
4599,0.734,-109.2172865,36.38037794
4620,1.273,-109.1058572,36.39270269
4641,-0.423,-109.9014651,36.39257824
4662,-0.584,-109.7901321,36.40553919
4683,-0.345,-109.6787609,36.41839652
4704,0.195,-109.5673519,36.4311502
4725,1.205,-109.4559053,36.44380017
4746,1.505,-109.3444215,36.45634638
4767,1.258,-109.2329006,36.46878879
4788,0.776,-109.1213431,36.48112734
4809,-0.564,-109.9178845,36.48089693
4830,-0.68,-109.8064237,36.49387238
4851,-0.373,-109.6949246,36.50674412
4872,-0.136,-109.5833876,36.51951209
4893,0.425,-109.4718128,36.53217624
4914,0.889,-109.3602007,36.54473653
4935,0.891,-109.2485514,36.5571929
4956,0.514,-109.1368654,36.56954532
4977,-0.912,-109.9343424,36.56920872
4998,-0.308,-109.8227536,36.58219873
5019,-0.04,-109.7111263,36.59508493
5040,-0.111,-109.5994609,36.60786725
5061,0.077,-109.4877578,36.62054565
5082,0.759,-109.376017,36.63312008
5103,0.587,-109.2642391,36.64559049
5124,0.731,-109.1524242,36.65795682
5145,-0.736,-109.950839,36.65751378
5166,-0.407,-109.8391218,36.67051843
5187,0.166,-109.7273661,36.68341915
5208,0.133,-109.6155722,36.69621589
5229,0.551,-109.5037402,36.7089086
5250,1.031,-109.3918706,36.72149723
5271,0.2,-109.2799637,36.73398172
5292,1.781,-109.1680196,36.74636204
5313,-0.119,-109.0560388,36.75863812
5334,0.413,-109.9673745,36.74581233
5355,0.507,-109.8555287,36.75883167
5376,0.08,-109.7436442,36.77174698
5397,-0.04,-109.6317213,36.7845582
5418,0.573,-109.5197604,36.79726527
5439,0.638,-109.4077616,36.80986816
5460,0.756,-109.2957253,36.82236681
5481,1.594,-109.1836519,36.83476116
5502,-0.511,-109.0715415,36.84705118
5523,0.307,-109.9839489,36.83410453
5544,0.27,-109.8719742,36.84713864
5565,0.204,-109.7599606,36.86006859
5586,-0.138,-109.6479086,36.87289435
5607,0.06,-109.5358183,36.88561586
5628,0.577,-109.4236901,36.89823307
5649,1.115,-109.3115242,36.91074593
5670,-0.014,-109.199321,36.92315439
5691,-0.705,-109.0870808,36.9354584
5712,-0.205,-110.0005624,36.9223906
5733,-0.143,-109.8884584,36.93543952
5754,-0.328,-109.7763156,36.94838419
5775,-0.23,-109.664134,36.96122455
5796,-0.111,-109.5519141,36.97396056
5817,0.428,-109.4396562,36.98659215
5838,0.058,-109.3273605,36.99911929
5859,2.671,-109.7709713,31.34166052
5880,2.455,-109.6665902,31.35458754
5901,2.669,-109.5621758,31.36741655
5922,2.604,-109.4577285,31.38014751
5943,2.632,-109.3532484,31.39278037
5964,2.417,-109.2487358,31.4053151
5985,2.421,-109.144191,31.41775167
6006,1.513,-110.4124659,31.35087941
6027,1.421,-110.3081773,31.3644062
6048,2.029,-110.203854,31.37783512
6069,2.368,-110.0994961,31.39116615
6090,2.289,-109.995104,31.40439923
6111,2.648,-109.8906779,31.41753434
6132,2.779,-109.786218,31.43057143
6153,3.002,-109.6817245,31.44351046
6174,2.48,-109.5771977,31.45635139
6195,2.554,-109.4726378,31.46909419
6216,2.288,-109.368045,31.48173881
6237,2.182,-109.2634196,31.49428521
6258,2.345,-109.1587619,31.50673337
6279,1.282,-109.054072,31.51908323
6300,2.071,-110.4284193,31.43969905
6321,1.841,-110.3240187,31.45323839
6342,2.124,-110.2195834,31.46667979
