spring_delta_ndvi,lon,lat,geometry
3.807,-109.12437,35.8497611,Point
0.87,-109.91429,35.8495325,Point
-0.002,-109.80375,35.8625106,Point
4.065,-109.69318,35.8753858,Point
4.652,-109.58257,35.888158,Point
4.733,-109.47192,35.9008272,Point
2.185,-109.36124,35.9133934,Point
6.144,-109.25052,35.9258564,Point
3.08,-109.13976,35.9382162,Point
1.644,-109.9306,35.9378823,Point
1.777,-109.81994,35.9508747,Point
1.813,-109.70924,35.963764,Point
5.46,-109.59851,35.9765503,Point
5.56,-109.48773,35.9892334,Point
3.119,-109.37692,36.0018134,Point
4.61,-109.26608,36.0142901,Point
3.693,-109.15519,36.0266635,Point
2.413,-109.94696,36.026224,Point
2.375,-109.83617,36.0392307,Point
3.353,-109.72535,36.0521342,Point
7.767,-109.61448,36.0649346,Point
5.892,-109.50358,36.0776317,Point
1.797,-109.39265,36.0902255,Point
2.538,-109.28167,36.102716,Point
2.713,-109.17066,36.1151032,Point
1.964,-109.05962,36.1273869,Point
6.068,-109.96335,36.1145578,Point
2.513,-109.85244,36.1275789,Point
5.795,-109.74149,36.1404967,Point
7.715,-109.6305,36.1533112,Point
5.807,-109.51947,36.1660224,Point
3.638,-109.40841,36.1786301,Point
2.404,-109.29731,36.1911345,Point
2.997,-109.18617,36.2035353,Point
5.846,-109.07499,36.2158327,Point
2.513,-109.97978,36.2028839,Point
-0.686,-109.86874,36.2159194,Point
-0.667,-109.75766,36.2288515,Point
2.987,-109.64655,36.2416802,Point
3.749,-109.53539,36.2544055,Point
4.541,-109.4242,36.2670273,Point
5.393,-109.31297,36.2795455,Point
1.759,-109.20171,36.2919602,Point
9.759,-109.09041,36.3042712,Point
6.118,-109.99625,36.2912025,Point
-0.094,-109.88508,36.3042525,Point
-3.502,-109.77388,36.317199,Point
-1.296,-109.66264,36.330042,Point
2.232,-109.55135,36.3427814,Point
10.498,-109.44004,36.3554173,Point
9.596,-109.32868,36.3679495,Point
6.721,-109.21729,36.3803779,Point
13.33,-109.10586,36.3927027,Point
-3.252,-109.90147,36.3925782,Point
-6.359,-109.79013,36.4055392,Point
-2.693,-109.67876,36.4183965,Point
1.378,-109.56735,36.4311502,Point
9.084,-109.45591,36.4438002,Point
16.29,-109.34442,36.4563464,Point
8.722,-109.2329,36.4687888,Point
6.274,-109.12134,36.4811273,Point
-4.123,-109.91788,36.4808969,Point
-7.953,-109.80642,36.4938724,Point
-2.546,-109.69492,36.5067441,Point
-0.992,-109.58339,36.5195121,Point
3.849,-109.47181,36.5321762,Point
6.61,-109.3602,36.5447365,Point
5.185,-109.24855,36.5571929,Point
5.589,-109.13687,36.5695453,Point
-5.873,-109.93434,36.5692087,Point
-2.716,-109.82275,36.5821987,Point
-0.271,-109.71113,36.5950849,Point
-1.07,-109.59946,36.6078673,Point
0.723,-109.48776,36.6205457,Point
8.178,-109.37602,36.6331201,Point
3.789,-109.26424,36.6455905,Point
5.17,-109.15242,36.6579568,Point
-7.167,-109.95084,36.6575138,Point
-3.697,-109.83912,36.6705184,Point
0.789,-109.72737,36.6834192,Point
1.172,-109.61557,36.6962159,Point
4.162,-109.50374,36.7089086,Point
6.856,-109.39187,36.7214972,Point
0.822,-109.27996,36.7339817,Point
11.362,-109.16802,36.746362,Point
-0.764,-109.05604,36.7586381,Point
2.122,-109.96737,36.7458123,Point
2.26,-109.85553,36.7588317,Point
0.383,-109.74364,36.771747,Point
-0.244,-109.63172,36.7845582,Point
3.362,-109.51976,36.7972653,Point
3.703,-109.40776,36.8098682,Point
4.774,-109.29573,36.8223668,Point
13.199,-109.18365,36.8347612,Point
-4.639,-109.07154,36.8470512,Point
1.505,-109.98395,36.8341045,Point
1.461,-109.87197,36.8471386,Point
0.735,-109.75996,36.8600686,Point
-0.484,-109.64791,36.8728944,Point
0.347,-109.53582,36.8856159,Point
3.71,-109.42369,36.8982331,Point
10.933,-109.31152,36.9107459,Point
-0.093,-109.19932,36.9231544,Point
-5.443,-109.08708,36.9354584,Point
-0.649,-110.00056,36.9223906,Point
-0.579,-109.88846,36.9354395,Point
-1.19,-109.77632,36.9483842,Point
-0.874,-109.66413,36.9612246,Point
-0.705,-109.55191,36.9739606,Point
3.99,-109.43966,36.9865922,Point
0.415,-109.32736,36.9991193,Point
43.16,-109.77097,31.3416605,Point
36.347,-109.66659,31.3545875,Point
36.019,-109.56218,31.3674166,Point
42.862,-109.45773,31.3801475,Point
53.931,-109.35325,31.3927804,Point
53.911,-109.24874,31.4053151,Point
49.163,-109.14419,31.4177517,Point
26.111,-110.41247,31.3508794,Point
16.569,-110.30818,31.3644062,Point
31.337,-110.20385,31.3778351,Point
35.555,-110.0995,31.3911662,Point
29.77,-109.9951,31.4043992,Point
37.672,-109.89068,31.4175343,Point
45.95,-109.78622,31.4305714,Point
43.442,-109.68172,31.4435105,Point
46.42,-109.5772,31.4563514,Point
42.484,-109.47264,31.4690942,Point
47.864,-109.36805,31.4817388,Point
55.345,-109.26342,31.4942852,Point
55.72,-109.15876,31.5067334,Point
13.569,-109.05407,31.5190832,Point
20.142,-110.42842,31.4396991,Point
22.624,-110.32402,31.4532384,Point
28.369,-110.21958,31.4666798,Point
34.25,-110.11511,31.4800232,Point
28.729,-110.01061,31.4932686,Point
34.981,-109.90607,31.5064159,Point
45.159,-109.8015,31.5194652,Point
50.641,-109.69689,31.5324163,Point
48.154,-109.59225,31.5452692,Point
41.717,-109.48758,31.5580239,Point
28.105,-109.38287,31.5706803,Point
52.474,-109.27814,31.5832384,Point
59.406,-109.17337,31.5956982,Point
33.164,-109.06856,31.6080596,Point
24.323,-110.44441,31.5285014,Point
27.046,-110.3399,31.5420533,Point
25.267,-110.23535,31.5555073,Point
31.277,-110.13077,31.5688631,Point
31.303,-110.02615,31.5821209,Point
35.203,-109.9215,31.5952805,Point
38.928,-109.81681,31.6083419,Point
46.471,-109.71209,31.6213051,Point
39.12,-109.60734,31.6341701,Point
