spring_delta_ndvi,lon,lat,geometry
7.017,-109.6292916,35.52178965,Point
6.946,-109.5191838,35.53450635,Point
5.353,-109.4090394,35.54712044,Point
6.873,-109.2988588,35.55963186,Point
6.753,-109.1886421,35.57204059,Point
5.847,-109.0783898,35.58434655,Point
7.179,-109.7554037,35.59736841,Point
6.275,-109.6452077,35.61020157,Point
4.608,-109.5349749,35.62293206,Point
7.283,-109.4247053,35.63555984,Point
5.086,-109.3143993,35.64808485,Point
5.573,-109.2040573,35.66050706,Point
5.983,-109.0936793,35.67282641,Point
8.922,-109.8817658,35.67280782,Point
3.328,-109.771482,35.68575766,Point
3.71,-109.6611609,35.69860478,Point
4.633,-109.5508027,35.71134912,Point
4.24,-109.4404076,35.72399065,Point
7.044,-109.329976,35.73652931,Point
9.768,-109.2195082,35.74896506,Point
5.79,-109.1090044,35.76129785,Point
3.575,-109.8980069,35.76117437,Point
1.505,-109.7875978,35.77413833,Point
2.132,-109.6771511,35.78699946,Point
3.857,-109.5666673,35.79975772,Point
2.849,-109.4561465,35.81241305,Point
4.198,-109.345589,35.82496542,Point
10.061,-109.2349952,35.83741477,Point
3.807,-109.1243652,35.84976106,Point
0.87,-109.9142858,35.84953247,Point
-0.002,-109.803751,35.8625106,Point
4.065,-109.6931786,35.87538581,Point
4.652,-109.5825688,35.88815804,Point
4.733,-109.4719219,35.90082724,Point
2.185,-109.3612383,35.91339337,Point
6.144,-109.2505182,35.92585638,Point
3.08,-109.1397619,35.93821622,Point
1.644,-109.9306026,35.93788228,Point
1.777,-109.8199418,35.95087466,Point
1.813,-109.7092434,35.963764,Point
5.46,-109.5985074,35.97655026,Point
5.56,-109.4877342,35.98923339,Point
3.119,-109.3769242,36.00181335,Point
4.61,-109.2660775,36.01429008,Point
3.693,-109.1551944,36.02666353,Point
2.413,-109.9469574,36.02622401,Point
2.375,-109.8361705,36.03923069,Point
3.353,-109.7253456,36.05213423,Point
7.767,-109.6144832,36.06493458,Point
5.892,-109.5035834,36.0776317,Point
1.797,-109.3926466,36.09022554,Point
2.538,-109.2816731,36.10271604,Point
2.713,-109.170663,36.11510317,Point
1.964,-109.0596168,36.12738687,Point
6.068,-109.9633504,36.11455783,Point
2.513,-109.852437,36.12757887,Point
5.795,-109.7414855,36.14049667,Point
7.715,-109.6304963,36.15331118,Point
5.807,-109.5194697,36.16602235,Point
3.638,-109.4084058,36.17863013,Point
2.404,-109.2973051,36.19113447,Point
2.997,-109.1861678,36.20353532,Point
5.846,-109.0749942,36.21583265,Point
2.513,-109.9797817,36.20288394,Point
-0.686,-109.8687415,36.2159194,Point
-0.667,-109.7576631,36.22885152,Point
2.987,-109.6465469,36.24168024,Point
3.749,-109.5353931,36.25440552,Point
4.541,-109.4242019,36.2670273,Point
5.393,-109.3129738,36.27954554,Point
1.759,-109.2017089,36.29196019,Point
9.759,-109.0904076,36.30427119,Point
6.118,-109.9962514,36.29120251,Point
-0.094,-109.8850841,36.30425246,Point
-3.502,-109.7738786,36.31719896,Point
-1.296,-109.662635,36.33004196,Point
2.232,-109.5513538,36.34278141,Point
10.498,-109.440035,36.35541725,Point
9.596,-109.3286792,36.36794945,Point
6.721,-109.2172865,36.38037794,Point
13.33,-109.1058572,36.39270269,Point
-3.252,-109.9014651,36.39257824,Point
-6.359,-109.7901321,36.40553919,Point
-2.693,-109.6787609,36.41839652,Point
1.378,-109.5673519,36.4311502,Point
9.084,-109.4559053,36.44380017,Point
16.29,-109.3444215,36.45634638,Point
8.722,-109.2329006,36.46878879,Point
6.274,-109.1213431,36.48112734,Point
-4.123,-109.9178845,36.48089693,Point
-7.953,-109.8064237,36.49387238,Point
-2.546,-109.6949246,36.50674412,Point
-0.992,-109.5833876,36.51951209,Point
3.849,-109.4718128,36.53217624,Point
6.61,-109.3602007,36.54473653,Point
5.185,-109.2485514,36.5571929,Point
5.589,-109.1368654,36.56954532,Point
-5.873,-109.9343424,36.56920872,Point
-2.716,-109.8227536,36.58219873,Point
-0.271,-109.7111263,36.59508493,Point
-1.07,-109.5994609,36.60786725,Point
0.723,-109.4877578,36.62054565,Point
8.178,-109.376017,36.63312008,Point
3.789,-109.2642391,36.64559049,Point
5.17,-109.1524242,36.65795682,Point
-7.167,-109.950839,36.65751378,Point
-3.697,-109.8391218,36.67051843,Point
0.789,-109.7273661,36.68341915,Point
